Width is 113, Height is 36, of coordinate 0
Width is 115, Height is 52, of coordinate 1
Width is 96, Height is 52, of coordinate 2
Width is 82, Height is 62, of coordinate 3
Width is 70, Height is 72, of coordinate 4
Width is 133, Height is 52, of coordinate 5
Width is 145, Height is 80, of coordinate 6
Width is 147, Height is 106, of coordinate 7
Width is 111, Height is 108, of coordinate 8
Width is 106, Height is 140, of coordinate 9
Width is 117, Height is 190, of coordinate 10
Width is 137, Height is 106, of coordinate 11
Width is 149, Height is 144, of coordinate 12
Width is 157, Height is 184, of coordinate 13
Width is 109, Height is 32, of coordinate 14
Width is 117, Height is 32, of coordinate 15
Width is 104, Height is 32, of coordinate 16
Width is 123, Height is 32, of coordinate 17
